мочь:могла:11.758043 ,кромбыть:11.780991 ,моод:12.035506 ,можетбыть:12.094949999999999 ,узнаетбыть:12.410347 ,смочь:12.427335 ,невозможнотец:12.580504999999999 ,могут:12.669633999999999 ,ка́кать:12.761786 ,нет-с:12.848771 ,придумаю:12.913149 ,..мочь:13.009658000000002 ,можешь:13.045394 ,любитбыть:13.099518 ,смогу:13.123012 ,возможнотец:13.182743 ,вполне:13.238289000000002 ,угоднотец:13.246601 ,мог:13.275496 ,суметь:13.27824 ,могли:13.330734999999999 ,инобыть:13.351590999999999 ,мечталовек:13.382031000000001 ,можем:13.386177 ,некстати:13.401535 ,пудать:13.442453 ,по-божески:13.459697000000002 ,моглотец:13.460373 ,позволять:13.466686999999999 ,другобыть:13.479787
улица:переулок:9.566548000000001 ,тротуар:10.277585 ,бульвар:10.398130000000002 ,проспект:10.901056999999998 ,улочка:11.049224 ,набережная:11.557004 ,сретенка:11.607088999999998 ,мостовая:11.614996 ,пречистенка:11.729914999999998 ,бульварчик:11.748619999999999 ,ильинки:11.756464 ,сквер:11.859729999999999 ,улицамя:11.952985 ,волхонка:11.978659999999998 ,подъезд:11.994762 ,шоссе:12.010349999999999 ,лиговка:12.031745 ,двор-колодец:12.097795999999999 ,аллея:12.247187 ,переулочек:12.281075 ,проулок:12.304048 ,пустырь:12.304447 ,уличка:12.309798 ,двор:12.333553 ,перекресток:12.372506999999999 ,ильинка:12.492486000000001 ,полквартал:12.530004 ,проулочка:12.624106 ,разъезж:12.632066 ,маросейка:12.685246
бывать:бывалотец:13.213706 ,всячинка:13.243016 ,езживать:13.259633999999998 ,случаться:13.260902 ,езжать:13.36374 ,видывать:13.508761 ,обедаемый:13.598792 ,бывают:13.614146000000002 ,обедывать:13.680801000000002 ,делывать:13.697697000000002 ,встречаемый:13.717664 ,говаривать:13.731439 ,простуживаться:13.758917 ,заживаться:13.802794 ,встречаловек:13.803075 ,нахаживать:13.851389000000001 ,добер:13.854991 ,гащивать:13.856931 ,живать:13.889027 ,видать:13.901201 ,скрытный:13.921978999999999 ,загуливать:13.974318 ,пристигать:13.982959 ,видиться:13.984700999999998 ,свете-вать:13.999763 ,надоелотец:14.004629 ,бывало:14.012145 ,некрасиво:14.017683 ,приходят:14.021263999999999 ,прихварывал:14.027072
сердце:сердцетраница:9.654266 ,сердце:9.743177999999999 ,сердцеотреть:9.917256 ,сердцатраница:10.337174 ,сердце-вать:11.602552 ,душа:11.666809 ,сердцемтраница:12.017261999999999 ,сердчишко:12.086419 ,сердцаотреть:12.1021 ,сердце-то:12.40925 ,сердца:12.484016 ,сердцутраница:12.617256000000001 ,сердце-той:12.765163999999999 ,окаменять:13.050702999999999 ,груди:13.087682000000001 ,сердечушко:13.249161 ,зарониться:13.294310000000001 ,сердцу:13.307870999999999 ,затрепещть:13.352603 ,грудь:13.371459000000002 ,оледенять:13.388527 ,мое.:13.391684000000001 ,поклянитесь:13.46243 ,изныло:13.483644 ,упоенье:13.507984 ,нозй:13.63214 ,душея:13.642199 ,хладеть:13.649118 ,страданья:13.668259 ,жалости:13.672344
узнавать:узнать:9.638665999999999 ,разузнать:11.753404 ,догадываться:12.01934 ,знать:12.172640999999999 ,расспросить:12.417261 ,выведать:12.591693 ,выяснять:12.737038000000002 ,вызнать:13.005474000000001 ,узнаетбыть:13.011848999999998 ,порасспросить:13.01709 ,поразведать:13.043978000000001 ,сообщать:13.056633999999999 ,догадаться:13.061539 ,расспроси:13.151582000000001 ,допытаться:13.288789000000001 ,сергя:13.294811000000001 ,встретившийся:13.303941 ,видеть:13.35759 ,выспросить:13.371787000000001 ,спрашивать:13.39152 ,знакома:13.409507 ,вспомниловек:13.432418 ,растревожиться:13.438161999999998 ,подумай:13.440535 ,расспрашивать:13.445634000000002 ,отговорили:13.448688 ,зайдет:13.449138 ,знакомиться:13.480924000000002 ,понимать:13.486796 ,выпытать:13.488446
мать:муж:10.314834999999999 ,отец:10.482873999999999 ,бабушка:10.540189000000002 ,тетка:10.694213 ,мачеха:10.974758999999999 ,родитель:11.047041 ,отцомя:11.078644 ,мама:11.133159 ,сестра:11.188074 ,жена:11.219939 ,-олених:11.279547999999998 ,дочь:11.556625 ,сынатраница:11.668842000000001 ,выкормила:11.701493000000001 ,бабка:11.770572000000001 ,опекунша:11.844146 ,евдокия:11.894725 ,осиротить:11.909525 ,сироткй:11.921610999999999 ,сынотреть:11.978176999999999 ,ядь:12.007831 ,урожда:12.022365 ,братишко:12.039139 ,-гимназист:12.0478 ,старуха:12.05 ,приемыша:12.072566 ,фетинья:12.099867 ,дочерью:12.106905000000001 ,комурасаки:12.121451 ,сестренкий:12.122140000000002
язык:диалект:11.043399 ,грамматика:11.221454 ,наречие:11.249962 ,языки:11.687967 ,языке:11.905883 ,языка:12.059347 ,фонетика:12.21892 ,хинди:12.247918 ,фарси:12.317141 ,синтаксис:12.325932000000002 ,урду:12.422241000000001 ,латынь:12.531471 ,санскрит:12.652329 ,вокабула:12.666688 ,диалектология:12.669303 ,пушт:12.747033 ,языку:12.783722000000001 ,грамматик:12.790432 ,волапюк:12.794514 ,языках:12.823030000000001 ,просодие:12.851455000000001 ,идиом:12.960184 ,идиома:13.165837 ,языком:13.224205000000001 ,двуязычие:13.224291 ,лексика:13.2347 ,флексия:13.238021 ,просодия:13.277276 ,словоизменение:13.280839 ,фарсь:13.324110999999998
проводить:провести:10.126051 ,проведять:11.001936 ,проведение:11.548931 ,проводиться:12.541551 ,проходить:12.934242999999999 ,проводить:12.943992 ,провесть:12.964982999999998 ,проведенный:13.305176999999999 ,проводивать:13.582293 ,мероприятие:14.145253 ,проводимый:14.236540999999999 ,закрыли:14.459924 ,иммерсия:14.51021 ,координирование:14.530818 ,ведеть:14.630217 ,продлив:14.670401000000002 ,вести:14.7308 ,пробыть:14.736893 ,просиживать:14.798391 ,организовывать:14.839497 ,цдлийский:14.883928000000001 ,икси:14.891552999999998 ,прошататься:14.898298999999998 ,проделать:14.927367 ,2013:14.932536 ,проведша:14.937244 ,скрининг:14.942115000000001 ,проведший:14.954891 ,бодибилдинг:14.970772 ,..проходить:14.983687
лежать:валяться:11.604394 ,ложиться:12.032428 ,лежать:12.34309 ,пролеживать:12.514939 ,полусидеть:12.735916 ,класть:12.753404 ,пролежать:12.817219000000001 ,покоиться:12.976268000000001 ,лежаловек:13.047360000000001 ,легать:13.054462000000001 ,стоять:13.17596 ,покрывавать:13.327485 ,положенный:13.520592 ,лежавать:13.615911 ,изножий:13.625138 ,проваляться:13.710585 ,вповалку:13.814899999999998 ,достлать:13.829846 ,распузжать:13.831952999999999 ,расстелять:13.859873 ,примоскать:13.877402 ,укладывать:13.880047999999999 ,ничком:13.916490000000001 ,насыпывать:13.931804 ,смахтывать:13.971859 ,полузанесенный:13.979848 ,разлегаться:14.00754 ,грудый:14.011631 ,лечь:14.023596 ,положить:14.029335
система:системтраница:11.054892 ,подсистема:11.30458 ,системой:11.532694999999999 ,системы:11.795373999999999 ,интегрированный:12.050031 ,налогообложения:12.065092 ,системе:12.069772 ,система:12.08401 ,систему:12.098957000000002 ,модульность:12.188716999999999 ,механизм:12.196739 ,асу:12.199767999999999 ,терморегулирование:12.242476 ,интеллектуализация:12.347008 ,автоматизированный:12.368816 ,системах:12.443948 ,самоорганизоваться:12.449017 ,функционирование:12.506947 ,перенастройка:12.531274 ,инфрастуктура:12.534983 ,сц:12.538657999999998 ,производством:12.554775999999999 ,механизмов:12.561853000000003 ,систем:12.574954 ,аутентификация:12.575785 ,асуть:12.585161 ,саморегулируться:12.623888 ,геомаркетинг:12.631502000000001 ,систть:12.662082999999999 ,бд:12.679146999999999
следовать:вышесказанный:13.363596000000001 ,последуть:13.366952999999999 ,надлежать:13.407501 ,советовать:14.006072 ,последовать:14.037264 ,диссертанть:14.270207 ,разберь:14.302510999999999 ,обдумай:14.349965999999998 ,сообразоваться:14.441317 ,предосуждений:14.451401999999998 ,вышеприведеть:14.473296000000001 ,продвинуться:14.493066 ,правильности:14.508212 ,случав:14.563761 ,рекомендовать:14.575374 ,перифразирование:14.613069 ,формуле:14.615625 ,предписывать:14.624975 ,поспеша:14.629386 ,макмиллан:14.631474 ,указание:14.645506000000001 ,разуметься:14.65663 ,руководствуться:14.667024000000001 ,поведений:14.714202999999998 ,презумпций:14.716489000000001 ,применений:14.718727000000001 ,нижеследующий:14.723491 ,результата:14.731532999999999 ,бы:14.732496999999999 ,пределов:14.733727
продолжать:начинать:12.067881 ,начать:12.901961 ,продолжавать:13.705656999999999 ,хаггарт:13.810692 ,повторять:13.8869 ,прерывать:13.90129 ,переставать:13.981336 ,ракитин:14.032831999999999 ,струнников:14.064889 ,стуколов:14.081435 ,бодростина:14.155749 ,продолжить:14.167912000000001 ,продолжение:14.235561 ,прекращать:14.247608 ,приниматься:14.307631 ,фарбер:14.317549000000001 ,мокер:14.361788999999998 ,серьезничать:14.381052999999998 ,ивчиков:14.430498 ,дзадорить:14.446977 ,отбрехиваться:14.456451000000001 ,гребый:14.46114 ,бегушев:14.461962000000002 ,элиз:14.475474000000002 ,проговорить:14.506421999999999 ,перестать:14.508868 ,лушать:14.515863 ,приняться:14.52868 ,продолжывать:14.579447 ,стать:14.589598
начало:конец:12.045660999999999 ,середина:12.32948 ,начаться:12.793209999999998 ,разгар:13.196674999999999 ,затянувшемуся:13.435771 ,начинаться:13.438354 ,начало:13.454129 ,контрреформа:13.561299 ,-август:13.699691000000001 ,начале:13.740321999999999 ,датируемый:13.814493 ,ноябре:13.829350000000002 ,сиквел:13.830293 ,2000од:13.913243 ,завершение:13.954467000000001 ,года>:13.971439 ,этапункт:14.006641 ,-июль:14.037764000000001 ,§1:14.052851 ,закончившуюся:14.056261999999998 ,двадцатипятилетий:14.080926 ,(в:14.084893000000001 ,длящться:14.085215 ,окончание:14.092685999999999 ,-декабрь:14.111075 ,либо-либо:14.132749 ,начиная:14.157225 ,восьмидесятый:14.16386 ,надесять:14.170493999999998 ,предшествовавший:14.180391
возможность:невозможность:12.363265 ,шанс:12.770968 ,возможности:13.267674 ,шансяча:13.297018000000001 ,необходимость:13.334381 ,позволять:13.377316 ,перспектива:13.445236999999999 ,асуть:13.610822000000002 ,смыслатраница:13.648636000000002 ,способность:13.682818999999999 ,многовариантность:13.724441 ,интересуть:13.753356 ,преимущество:13.848149 ,возможнодать:13.851641 ,способ:13.88674 ,осуществимость:13.89548 ,-процесса:13.907112000000001 ,возможностей:13.931949999999999 ,проблематичность:13.934161 ,недогрузка:13.951851 ,кромбыть:13.96697 ,триз:13.967884999999999 ,ненадежности:13.970377000000001 ,мерила:13.970669000000001 ,соизмеримость:13.977191999999999 ,многомерность:13.985473 ,доступа:13.988074000000001 ,применимость:13.990561 ,самофинансирование:13.994047 ,аккумулирование:14.008323
ходить:бегать:10.922653999999998 ,ездить:11.585132999999999 ,расхаживать:11.961559999999999 ,шастать:12.343709 ,водить:12.361343000000002 ,таскаться:12.438142000000001 ,хаживать:12.552475999999999 ,похаживать:12.601847000000001 ,бродить:12.689233 ,ходя:12.715726 ,прохаживать:12.735088000000001 ,шляться:12.777413000000001 ,прохаживаться:12.916187999999998 ,ходть:13.117457 ,ходит:13.120797 ,пойти:13.149154 ,слоняться:13.161685 ,прогуливаться:13.28658 ,возить:13.341563 ,пробродить:13.345222 ,гонять:13.370406999999998 ,ходить:13.411434999999997 ,гулять:13.415377 ,поплетусь:13.420021000000002 ,побрехать:13.436820999999998 ,затрапеза:13.448913000000001 ,ходили:13.451288 ,разъезжать:13.514403000000001 ,шнырить:13.556322 ,сапожничать:13.558981
приезжать:приехать:8.137121 ,уезжать:9.467327999999998 ,поехать:9.827917 ,выезжать:10.544623 ,ездить:10.597940999999999 ,прибывать:10.654878 ,заезжать:10.718957 ,приехаловек:10.754131000000001 ,заехать:10.917745 ,приезд:10.997157 ,приезжать:11.020913 ,съездить:11.120292 ,ехать:11.131954 ,привозить:11.387568 ,съезжаться:11.696415 ,прикатить:11.696574 ,уехаловек:11.888707 ,заехавать:11.942758 ,побывавша:11.970133 ,прилетай:12.021154000000001 ,выехать:12.023655999999999 ,переезжать:12.056982999999999 ,съехаться:12.131341 ,приходить:12.272047 ,абрамцево:12.292493 ,подъезжать:12.318162000000001 ,укащать:12.380396999999999 ,гостить:12.410153999999999 ,прискакать:12.439271999999999 ,прогощать:12.447840999999999
сын:дочь:8.584083 ,внук:9.930734 ,племянник:10.298164 ,сынтраница:10.348146 ,брат:10.487724 ,отец:11.067588 ,дочка:11.303632 ,зять:11.639861999999999 ,сынатраница:11.853254 ,внучка:11.87258 ,сынишка:11.89273 ,жена:11.922383 ,сынок:12.010373000000001 ,сынотреть:12.060773 ,женять:12.113717999999999 ,-наследник:12.124962999999997 ,мать:12.14904 ,сыномтраница:12.293597 ,сыном:12.373186 ,племянница:12.408894 ,сыновей:12.412911000000001 ,приемыш:12.434681 ,-алкоголик:12.436252 ,крестник:12.476077 ,помолвить:12.514872 ,усыновило:12.53255 ,дочерью:12.571095 ,полоцкий:12.578918999999999 ,княживать:12.603245000000001 ,правнук:12.617633000000001
смерть:кончина:10.843532 ,смертитраница:11.522527 ,смерти:11.550867 ,гибель:11.629332 ,умирать:11.863009 ,смертьютраница:12.072583999999999 ,поправ:12.477902 ,смертий:12.721323 ,отомщенный:13.361954 ,казнью:13.459819999999999 ,умерщвлений:13.486939 ,самоубийство:13.511541000000001 ,смертью:13.542171 ,патрокла:13.606480000000001 ,скончать:13.655144 ,исцеленный:13.692212000000001 ,оскопление:13.698139000000001 ,оплакивания:13.705251 ,задушение:13.755709 ,участи:13.76349 ,гробе:13.772978 ,попущенить:13.813047000000001 ,подобно:13.827662 ,оставленность:13.833276 ,искуплять:13.834266 ,покойный:13.861927000000001 ,некромантисса:13.873429999999999 ,умирание:13.891509 ,возлюблать:13.908028999999999 ,призрачности:13.913668000000001
появляться:появиться:9.534433 ,возникать:11.930327 ,появление:12.393736 ,показываться:12.603601999999999 ,исчезать:13.032302999999999 ,объявиться:13.351785999999999 ,промелькнуть:13.678636000000001 ,замаячить:13.899938 ,явиться:13.950869 ,обнаруживаться:13.966742 ,являться:14.084997000000001 ,выплыть:14.120087999999999 ,зарождаться:14.179178 ,выплывать:14.226261000000001 ,мелькнуть:14.244675 ,замелькать:14.281266 ,появлявшимися:14.329401 ,мелькать:14.375852 ,наползти:14.427875 ,прорезаться:14.487283 ,коммерсанте:14.530543 ,маячить:14.613653 ,материализоваться:14.626916000000001 ,прорисоваться:14.656196 ,открывшться:14.659753 ,вылепиться:14.665828000000001 ,заполонить:14.668604 ,запестреть:14.676417 ,исчезлотец:14.689627999999999 ,закрывшый:14.702760999999999
любовь:привязанность:10.803481999999999 ,любовь:11.127163 ,страсть:11.418954000000001 ,упоенье:11.607915 ,возлюбивать:11.723255 ,любя:11.844062999999998 ,влюбленность:11.873051 ,любви:11.947164 ,незлобий:11.960479 ,чувствотец:12.027018 ,шурочка:12.117493 ,нежность:12.117585 ,самоотдачй:12.132501999999999 ,самоотречениий:12.142964000000001 ,братолюбие:12.185368999999998 ,ревность:12.204452999999999 ,милосердствовать:12.222206 ,возвеличенный:12.240907 ,жаление:12.275497 ,ласки:12.294504 ,сострадания:12.322544999999998 ,ближнему:12.342487 ,беззаветность:12.355952 ,всепоглощающий:12.435673999999999 ,оскорбляемый:12.442043 ,страданья:12.46037 ,любовью:12.488177 ,страстный:12.491768 ,самопожертвования:12.499635999999999 ,состраданье:12.507306
вести:ведти:12.663687 ,вестись:12.997084999999998 ,повести:13.028803 ,вести:13.475382 ,повехать:13.746965999999999 ,идти:13.831158 ,ведший:13.834237 ,ведение:13.879068 ,ведать:14.482183000000001 ,ведущаяся:14.620829 ,ведаться:14.648784 ,вовлечать:14.682181 ,проводить:14.7308 ,вступать:14.858191999999999 ,провалляться:14.861927000000001 ,руководить:14.930498 ,нескончаемый:14.961 ,водить:15.056935 ,направляемый:15.102253000000001 ,уводить:15.129462 ,заводить:15.1396 ,проложеть:15.185559999999999 ,вмешивать:15.187834000000002 ,законспирированный:15.203101 ,гектруппар:15.212506000000001 ,организовывать:15.222645 ,производиваться:15.222760999999998 ,спускающиться:15.229949999999999 ,проводимый:15.274996999999999 ,началася:15.280809999999999
окно:окошко:7.702052 ,оконце:9.688717 ,форточка:10.670158 ,ставня:11.106366999999999 ,оконница:11.158064 ,зарешечивать:11.207042999999999 ,окнотец:11.286235999999999 ,оконута:11.348732 ,фрамуга:11.398268999999999 ,ставень:11.459042 ,окошечко:11.510264 ,оконный:11.566320000000001 ,фортка:11.631947 ,надворье:11.641261000000002 ,окошечка:11.675778999999999 ,дверной:11.729546 ,балкон:11.744209999999999 ,дверь:11.796645 ,оконец:11.80314 ,ставенка:11.811506 ,окно:11.86462 ,настежь:11.885632 ,занавеска:12.005037000000002 ,стекло:12.041202 ,задердывать:12.090994000000002 ,подоконник:12.098761 ,окнами:12.107996 ,притолокой:12.129296 ,отвореный:12.141842999999998 ,запотель:12.163166
общество:общества:10.179632999999999 ,обществе:12.642047999999999 ,обществотец:12.85333 ,сообщество:13.177163 ,обществом:13.189547999999998 ,общины:13.255389000000001 ,обществ:13.509091999999999 ,обществый:13.545613 ,порядков:13.696047 ,община:13.698584 ,-учредитель:13.71086 ,товарищество:13.793727 ,высшей:13.80942 ,равноправности:13.866212 ,обществу:13.884908 ,об-во:13.947506 ,сообщества:13.95552 ,программое:13.985180999999999 ,социум:13.997228999999999 ,бюргерство:14.001092 ,классом:14.003486 ,этик:14.004360000000002 ,франкмасон:14.038753999999999 ,государство:14.047301000000001 ,гектосударствар:14.095 ,социальной:14.112108000000001 ,атомизировать:14.112442999999999 ,законопослушание:14.174985 ,обществах:14.176888 ,государствый:14.191372
чувство:ощущение:10.981551 ,чувства:11.844075 ,чувствование:12.028747 ,оскорбленность:12.216269999999998 ,встревоженность:12.238483 ,переживание:12.320879 ,чувствотец:12.375866 ,чувств:12.517771 ,растроганность:12.527517 ,жаление:12.542341 ,влечение:12.735229 ,эмоция:12.769931 ,жалость:12.789902000000001 ,проникаюсь:12.805501999999999 ,освобожденность:12.844985999999999 ,чувством:12.857612 ,смятенность:12.87143 ,виноватость:12.886464 ,инстинкт:12.932331 ,читатело:12.942694 ,ущемленность:12.944285 ,уязвленность:12.973902 ,чувствек:12.975344 ,надломленность:12.990952 ,жизнеощущение:13.011438 ,страсть:13.030052000000001 ,сентимент:13.039005999999999 ,сознание:13.041148 ,привязчивость:13.054854 ,отвращенье:13.064382
оставлять:оставить:8.593596999999999 ,оставаться:10.394949 ,остаться:12.843986999999998 ,оставляемый:13.385919000000001 ,покидать:13.584295000000001 ,остающийся:13.721156 ,оставили:13.758227999999999 ,изглаживать:13.858419999999999 ,оставилийский:14.139266 ,возврачать:14.160333999999999 ,загладиться:14.190409 ,нахождаться:14.233704 ,уносить:14.34148 ,примись:14.353354 ,увезть:14.385176000000003 ,оставивший:14.42247 ,покидаемый:14.438044999999999 ,осталосить:14.505491 ,предпочитывать:14.520505 ,попуститься:14.543365000000001 ,сожигаться:14.566256000000001 ,изгладить:14.577979 ,бросить:14.579193 ,расставаться:14.586739000000001 ,раздав:14.593882999999998 ,выйщать:14.594606 ,возвращавать:14.640628 ,спишаться:14.649833000000001 ,оставь:14.661224 ,осталася:14.667768000000002
подходить:подойти:8.718039 ,приблизиться:10.747765999999999 ,подбегать:11.569011 ,приближаться:12.193784 ,придвинуться:12.349385 ,подъезжать:12.617982 ,подсесть:12.643008 ,подкрадываться:12.828100000000001 ,подбежать:12.900094 ,пододвигаться:12.957097000000001 ,подсаживаться:13.070363 ,отходить:13.175108 ,пододвинуться:13.193982000000002 ,подползти:13.231898 ,придвигаться:13.435492 ,ближбыть:13.48523 ,поравняться:13.501067 ,подъехать:13.60518 ,наклоняться:13.611096 ,присунуться:13.682455000000001 ,потолкать:13.855245 ,подлететь:13.900868000000001 ,подозвать:13.900985 ,ждан:13.904519 ,нагнуться:13.912874000000002 ,здравствуйтбыть:13.948738999999998 ,наклониться:13.958159 ,провожавший:13.974486 ,дтащить:14.0119 ,подбираться:14.014407
утро:вечер:9.020235 ,рассвет:9.858199 ,полдень:10.433434 ,ночь:11.165881 ,утромя:11.327182 ,день:11.673408 ,воскресенье:11.709586000000002 ,вечеромя:11.753703 ,полночь:11.842220000000001 ,час:12.057773000000001 ,суббота:12.133237000000001 ,..утр:12.205661 ,утречко:12.208059 ,спозаранку:12.361543 ,вечерень:12.389496000000001 ,утра:12.441048 ,ч[ас:12.499226 ,утрой-то:12.542860999999998 ,вставанье:12.548376000000001 ,спавша:12.608111999999998 ,рассветать:12.619988000000001 ,заутрене:12.626119 ,пополуночи:12.631869999999997 ,днемя:12.650718 ,пополудни:12.688507000000001 ,обедаемый:12.7365 ,тронться:12.740504 ,вечеру:12.753382 ,м[инута:12.754865 ,встай:12.758933
форма:форму:12.784505000000001 ,форме:12.857339 ,содержанием:13.132398000000002 ,формы:13.209201 ,формами:13.314192 ,габитус:13.528932000000001 ,видоизмененный:13.590973000000002 ,формой:13.598964 ,словоформ:13.660969999999999 ,формя:13.688247 ,самотождественность:13.737373000000002 ,выростовый:13.782002 ,индивидуализируться:13.891478999999999 ,априорности:13.911005 ,метафористика:13.972411 ,инфинитив:14.003936 ,противопоставлений:14.014018 ,субстанцие:14.022962 ,форм:14.028171 ,уплощенный:14.037438 ,разновидность:14.043911 ,структура:14.058648 ,архитектоника:14.059501 ,транссубъективность:14.073398999999998 ,либо-либо:14.079982 ,сводимый:14.08134 ,материальное:14.081658000000001 ,естественное:14.093727000000001 ,видоизменений:14.126607000000002 ,глагол-характеристика:14.158389999999999
князь:княгиня:10.08941 ,князь:10.483835 ,кн[язь:10.767585 ,княжна:10.992949 ,государь:11.119008000000001 ,княж:11.156132 ,княгидывать:11.243188 ,боярин:11.425976 ,мечник:11.522532 ,к[нязь:11.663404 ,галицкий:11.716863 ,ростиславича:11.770119 ,ратия:11.885376 ,княжение:11.913435 ,псковитяне:11.931683 ,репнин:11.96767 ,конюать:11.979379999999999 ,княжеский:12.000155 ,сведав:12.022932 ,отчина:12.065871000000001 ,воевода:12.066777 ,радзивлять:12.078161999999999 ,переяславли:12.142177 ,хан:12.145575000000001 ,доместика:12.200241 ,изяслав:12.204234 ,полоцкий:12.207355 ,князя:12.225452 ,удело:12.237003999999999 ,ярополк:12.240596
ждать:дожидаться:8.807513 ,ожидать:9.116102999999999 ,ждать:10.314663 ,поджидать:10.855231 ,жхать:11.523302999999999 ,выжидать:12.153693 ,ожидание:12.362504000000001 ,дождаться:12.595809000000001 ,дожидать:12.707037000000001 ,прождать:12.944816 ,заждаться:12.985857 ,нетерпение:12.994050999999999 ,ждаться:13.18344 ,медлить:13.446857999999999 ,ожидавший:13.508454 ,надеяться:13.553364 ,подождать:13.655953 ,думать:13.730467999999998 ,предвидеться:13.838369000000002 ,нетерпенивать:13.862313999999998 ,задержишься:13.938779 ,пережидать:13.961452000000001 ,ожидаемый:13.989735999999999 ,торопить:13.995715 ,ждет:14.022661 ,задержимся:14.027097999999999 ,ожидаться:14.055716 ,проторчать:14.058137000000002 ,караулить:14.083087 ,пождать:14.094115
месяц:неделя:8.885792 ,полгода:9.688068 ,месяцевек:11.516268 ,полмесяца:11.605148 ,полугод:11.995433 ,день:12.089898999999999 ,год:12.225791000000001 ,месяца:12.283816999999999 ,гектодар:12.79513 ,полугода:12.817427 ,неделю:12.999384 ,прохворать:13.139658999999998 ,проболеть:13.152847999999999 ,мес[яц:13.242764999999999 ,зиму:13.311095000000002 ,оттрубивать:13.407094999999998 ,полсуток:13.431158 ,вакации:13.443123 ,прогосщать:13.454388 ,сутки:13.482356 ,шестидневка:13.488436000000002 ,месяцев:13.507344 ,триместр:13.52857 ,часоварищ:13.538073 ,высидка:13.582669 ,десятилетие:13.593696 ,звонка:13.605465999999998 ,недель:13.608630999999999 ,-года:13.622917999999999 ,длившться:13.629513
мера:мер:11.555845 ,мере:11.588439999999999 ,меры:12.316042000000001 ,контрмера:13.889719 ,мерами:13.905517 ,настоятельность:13.983159 ,непринятия:14.012874 ,пределов:14.088911 ,степень:14.115134999999999 ,мероприятие:14.12039 ,мерой:14.186866 ,пресечение:14.189391 ,тарифов:14.246806 ,обуздания:14.255155 ,объеме:14.259326999999999 ,обуздание:14.263987000000002 ,мерый:14.307677 ,дерегулирование:14.329284000000001 ,необходимость:14.358247 ,непринятие:14.379354999999999 ,соответствуть:14.395998 ,растяжимость:14.490419 ,техрегламент:14.499767 ,госполитика:14.503982 ,шинкарство:14.514077 ,крайне:14.529824 ,соизмеримость:14.549092000000002 ,наведений:14.557514 ,транспарентность:14.563224000000002 ,полновластие:14.564741
машина:автомобиль:9.042375 ,грузовик:10.184494 ,джип:10.452710999999999 ,автомашина:10.712178999999999 ,полуторка:10.955423 ,мотоцикл:11.278533999999999 ,зис:11.378588999999998 ,авто:11.378941000000001 ,газик:11.385311 ,бмв:11.390388999999999 ,спецмашина:11.454049000000001 ,автофургон:11.516469 ,студебеккер:11.526675000000001 ,мотор:11.541718 ,легковушка:11.542281 ,трактор:11.550038 ,трехтонка:11.584754 ,шевроле:11.604337999999998 ,самосвал:11.717704 ,машинута:11.746883 ,мерседеса:11.750608 ,хорьх:11.772799 ,спецтранспорт:11.801162999999999 ,пикап:11.806375 ,джипа:11.812685 ,опеля:11.814916 ,автобус:11.849880000000002 ,пежо:11.855184999999999 ,фольксвагена:11.861628 ,рафика:11.870516
положение:положении:12.264142 ,положенье:12.516163 ,ситуация:12.853141 ,положения:13.025813 ,положений:13.05114 ,состояние:13.129674 ,создавшиться:13.285169 ,положеніе:13.414885000000002 ,положением:13.533479999999999 ,положеній:14.405386999999997 ,противоречащий:14.497365 ,положенiй:14.533541 ,создавшемуся:14.561096 ,несоответствуть:14.565639000000001 ,позиция:14.628324000000001 ,финансовый:14.655722 ,поколеблено:14.662914 ,ситуацию:14.665879 ,создаться:14.699259 ,удовлетворительность:14.704277999999999 ,расположение:14.716591000000001 ,изоляции:14.723381 ,ассоциаций:14.727929 ,положенiе:14.736054000000001 ,положению:14.7454 ,обстоятельствами:14.764892 ,растяжимость:14.794252 ,обстоятельство:14.804247 ,вопросомя:14.807701999999999 ,целям:14.824099
вспоминать:вспоминаться:8.830355999999998 ,вспомниться:9.399160000000002 ,припоминать:10.144603 ,припомнить:10.578979 ,помнить:11.12032 ,припомниться:11.440334 ,вспомнить:11.932435 ,забывать:12.096603000000002 ,вспоминать:12.514864 ,припоминаться:12.63591 ,напомнить:12.761224 ,напоминать:12.767045 ,знала:12.906701 ,подумать:12.953136999999998 ,рассказывать:13.256566000000001 ,дорассказывать:13.256913 ,вспоминаю:13.261464 ,позабывать:13.275015 ,запомниться:13.372948 ,полузабытый:13.435072 ,запоминать:13.450711 ,помниться:13.525965 ,рассказываловек:13.542518000000001 ,повспоминать:13.587738 ,прапрадедушка:13.600635 ,услышанный:13.64261 ,слышать:13.655205 ,напомнивший:13.751405000000002 ,плакал:13.767679999999999 ,пяст:13.802031
помнить:помниться:10.701541 ,вспоминать:11.12032 ,запоминать:11.746804999999998 ,запомнить:11.862202 ,припомнить:12.132075 ,знать:12.167705000000002 ,припоминать:12.259021 ,запоминаться:12.281061 ,помню:12.2896 ,забывать:12.452967000000001 ,вспомниться:12.550474 ,вспоминаться:12.703052 ,запомниться:12.885026 ,помня:12.992684 ,знала:13.007725 ,помнить:13.198499000000002 ,забыловек:13.275566000000001 ,припомниться:13.323330000000002 ,припоминаться:13.343672 ,рассказывай:13.472784 ,забудь:13.559831 ,когда-тотец:13.669713999999999 ,снилось:13.745832 ,позабывать:13.763877 ,напомнить:13.790811999999999 ,забыть:13.79823 ,скажуотреть:13.801902 ,случайноотреть:13.811682000000001 ,слышалотреть:13.819907 ,припомню:13.820166
